TIMESTAMP,WS_100,WS_69W,WS_38W,WD_97,WD_35,AT_95,RH_95,BP_93,GustFactor,TI_10min,MA_10min,MA_1h,MA_6h,MA_1mo
2020-11-01 00:00:00,4.786,3.883,2.424,71.024,91.105,21.571,61.202,1002.222,1.012,0.000,4.786,4.786,4.786,4.786
2020-11-01 00:01:00,4.906,4.150,1.597,71.398,99.256,21.611,61.175,1004.026,1.021,0.012,4.846,4.846,4.846,4.846
2020-11-01 00:02:00,4.928,2.285,1.414,69.619,97.564,21.606,60.858,1004.088,1.020,0.013,4.873,4.873,4.873,4.873
2020-11-01 00:03:00,4.808,3.938,1.706,67.014,92.642,21.609,60.490,1004.083,0.996,0.013,4.857,4.857,4.857,4.857
2020-11-01 00:04:00,4.874,4.175,1.641,63.811,91.410,21.610,60.219,1004.111,1.010,0.011,4.861,4.861,4.861,4.861
2020-11-01 00:05:00,4.826,4.430,1.531,63.538,92.273,21.606,60.098,1002.552,0.998,0.011,4.855,4.855,4.855,4.855
2020-11-01 00:06:00,4.767,4.184,1.756,65.627,88.272,21.626,60.429,1002.581,0.990,0.012,4.842,4.842,4.842,4.842
2020-11-01 00:07:00,4.711,4.058,1.907,65.383,96.770,21.648,60.863,1002.475,0.981,0.014,4.826,4.826,4.826,4.826
2020-11-01 00:08:00,4.448,3.212,1.792,72.879,84.005,21.654,61.247,1002.508,0.935,0.028,4.784,4.784,4.784,4.784
2020-11-01 00:09:00,4.195,2.472,2.030,74.729,85.175,21.650,61.501,1002.472,0.891,0.046,4.725,4.725,4.725,4.725
2020-11-01 00:10:00,4.008,1.847,1.887,78.521,82.680,21.648,61.652,1002.509,0.870,0.066,4.647,4.660,4.660,4.660
2020-11-01 00:11:00,3.882,2.399,1.930,78.830,84.970,21.652,62.218,1002.464,0.855,0.081,4.545,4.595,4.595,4.595
2020-11-01 00:12:00,3.933,2.770,2.176,74.490,85.435,21.642,62.129,1002.446,0.880,0.086,4.445,4.544,4.544,4.544
2020-11-01 00:13:00,3.929,3.651,3.164,73.061,78.200,21.606,61.879,1002.459,0.898,0.090,4.357,4.500,4.500,4.500
2020-11-01 00:14:00,3.865,3.632,2.464,72.437,82.978,21.610,61.946,1002.492,0.903,0.088,4.257,4.458,4.458,4.458
2020-11-01 00:15:00,3.538,2.909,1.859,77.127,90.469,21.612,62.109,1002.488,0.851,0.091,4.128,4.400,4.400,4.400
2020-11-01 00:16:00,3.383,2.378,1.504,78.656,87.998,21.611,62.238,1002.520,0.845,0.093,3.989,4.341,4.341,4.341
2020-11-01 00:17:00,3.069,1.537,1.752,75.711,80.974,21.611,62.383,1002.521,0.804,0.099,3.825,4.270,4.270,4.270
2020-11-01 00:18:00,3.197,2.082,3.027,75.712,75.051,21.608,62.422,1002.481,0.856,0.097,3.700,4.213,4.213,4.213
2020-11-01 00:19:00,2.967,1.595,3.009,79.610,78.424,21.608,62.511,1002.389,0.833,0.106,3.577,4.151,4.151,4.151
2020-11-01 00:20:00,2.837,1.696,3.427,81.732,75.441,21.608,62.665,1002.442,0.825,0.117,3.460,4.088,4.088,4.088
2020-11-01 00:21:00,3.027,2.941,2.861,78.498,74.146,21.609,62.709,1002.424,0.893,0.118,3.375,4.040,4.040,4.040
2020-11-01 00:22:00,2.943,2.710,3.135,80.434,71.829,21.608,62.646,1002.370,0.890,0.113,3.276,3.993,3.993,3.993
2020-11-01 00:23:00,2.822,2.399,2.704,81.506,70.692,21.609,62.541,1002.409,0.888,0.101,3.165,3.944,3.944,3.944
2020-11-01 00:24:00,2.255,2.071,2.861,83.931,75.399,21.641,62.518,1002.405,0.750,0.110,3.004,3.876,3.876,3.876
2020-11-01 00:25:00,2.223,1.384,2.243,83.805,77.466,21.652,62.556,1002.451,0.776,0.123,2.872,3.813,3.813,3.813
2020-11-01 00:26:00,2.302,1.736,2.356,84.693,75.731,21.653,62.675,1002.435,0.838,0.125,2.764,3.757,3.757,3.757
2020-11-01 00:27:00,2.299,1.368,2.161,84.345,75.235,21.650,62.823,1002.443,0.863,0.132,2.687,3.705,3.705,3.705
2020-11-01 00:28:00,2.465,1.440,1.926,85.706,73.883,21.636,62.926,1002.447,0.943,0.121,2.614,3.662,3.662,3.662
2020-11-01 00:29:00,2.120,1.449,1.583,85.801,80.230,21.609,62.922,1002.387,0.838,0.128,2.529,3.611,3.611,3.611
2020-11-01 00:30:00,2.102,1.699,1.513,83.249,78.346,21.611,62.893,1002.485,0.850,0.134,2.456,3.562,3.562,3.562
2020-11-01 00:31:00,1.969,1.249,1.678,87.533,78.929,21.611,62.788,1002.433,0.834,0.126,2.350,3.512,3.512,3.512
2020-11-01 00:32:00,1.595,1.229,1.489,88.114,85.270,21.609,62.823,1002.482,0.715,0.137,2.215,3.454,3.454,3.454
2020-11-01 00:33:00,1.291,1.198,1.422,95.166,88.126,21.607,62.876,1002.442,0.618,0.166,2.062,3.390,3.390,3.390
2020-11-01 00:34:00,1.407,1.108,1.238,104.112,85.230,21.607,62.927,1002.464,0.711,0.195,1.977,3.334,3.334,3.334
2020-11-01 00:35:00,1.833,1.024,1.237,85.508,88.917,21.575,63.084,1002.383,0.983,0.195,1.938,3.292,3.292,3.292
2020-11-01 00:36:00,1.732,1.021,1.419,97.727,91.293,21.560,63.183,1002.395,0.933,0.192,1.881,3.250,3.250,3.250
2020-11-01 00:37:00,1.753,1.049,1.292,95.592,82.987,21.550,63.315,1002.411,0.968,0.183,1.827,3.210,3.210,3.210
2020-11-01 00:38:00,1.864,1.072,1.247,92.296,85.770,21.518,63.403,1002.431,1.071,0.148,1.766,3.176,3.176,3.176
2020-11-01 00:39:00,1.408,0.797,1.219,89.207,87.286,21.509,63.472,1002.381,0.841,0.148,1.695,3.132,3.132,3.132
2020-11-01 00:40:00,1.373,1.208,1.209,85.725,82.210,21.469,63.558,1002.403,0.853,0.140,1.622,3.089,3.089,3.089
2020-11-01 00:41:00,1.533,1.253,1.217,87.598,86.969,21.470,63.632,1002.282,0.979,0.124,1.579,3.052,3.052,3.052
2020-11-01 00:42:00,2.117,1.564,1.502,89.957,85.458,21.446,63.722,1002.223,1.363,0.156,1.631,3.030,3.030,3.030
2020-11-01 00:43:00,2.331,1.912,1.157,91.175,84.116,21.428,63.807,1002.150,1.409,0.174,1.735,3.014,3.014,3.014
2020-11-01 00:44:00,1.936,2.086,1.657,88.862,84.466,21.426,63.774,1002.118,1.108,0.160,1.788,2.990,2.990,2.990
2020-11-01 00:45:00,1.742,1.878,1.272,95.448,105.825,21.427,63.695,1002.127,1.001,0.161,1.779,2.963,2.963,2.963
2020-11-01 00:46:00,1.589,1.817,1.163,97.641,108.095,21.422,63.684,1002.155,0.919,0.165,1.765,2.934,2.934,2.934
2020-11-01 00:47:00,1.506,1.409,1.268,93.908,95.084,21.424,63.658,1002.143,0.876,0.173,1.740,2.904,2.904,2.904
2020-11-01 00:48:00,1.626,1.586,1.686,91.399,89.853,21.422,63.588,1002.105,0.963,0.175,1.716,2.878,2.878,2.878
2020-11-01 00:49:00,1.667,2.281,2.829,96.019,94.057,21.430,63.583,1002.066,0.982,0.163,1.742,2.854,2.854,2.854
2020-11-01 00:50:00,1.686,2.342,2.900,98.760,94.110,21.418,63.500,1002.144,0.971,0.145,1.773,2.831,2.831,2.831
2020-11-01 00:51:00,1.629,2.300,2.992,97.439,90.775,21.420,63.446,1002.075,0.925,0.140,1.783,2.808,2.808,2.808
2020-11-01 00:52:00,1.398,2.235,2.835,97.593,90.208,21.427,63.278,1002.042,0.815,0.144,1.711,2.781,2.781,2.781
2020-11-01 00:53:00,1.029,1.885,2.647,112.065,89.305,21.425,62.785,1001.989,0.638,0.144,1.581,2.749,2.749,2.749
2020-11-01 00:54:00,1.266,1.788,2.325,105.927,93.608,21.483,62.498,1002.225,0.832,0.140,1.514,2.722,2.722,2.722
2020-11-01 00:55:00,0.807,1.570,2.191,131.660,93.115,21.537,62.295,1002.179,0.570,0.200,1.420,2.688,2.688,2.688
2020-11-01 00:56:00,1.104,1.496,2.291,146.704,94.100,21.584,62.005,1002.034,0.804,0.213,1.372,2.660,2.660,2.660
