TIMESTAMP,WS_100,WS_69W,WS_38W,WD_97,WD_35,AT_95,RH_95,BP_93,GustFactor,TI_10min,MA_10min,MA_1h,MA_6h,MA_1mo
2023-02-01 00:00:00,2.821,2.687,1.707,134.153,106.302,17.319,32.243,1001.956,0.991,0.000,2.821,2.821,2.821,2.821
2023-02-01 00:01:00,2.370,2.274,1.077,134.785,98.767,17.267,35.169,1006.094,0.881,0.087,2.595,2.595,2.595,2.595
2023-02-01 00:02:00,1.966,1.764,0.421,134.627,45.103,17.043,38.041,1006.212,0.801,0.146,2.385,2.385,2.385,2.385
2023-02-01 00:03:00,1.853,1.256,0.386,139.480,330.765,16.776,40.018,1006.179,0.808,0.169,2.252,2.252,2.252,2.252
2023-02-01 00:04:00,1.726,1.271,0.419,135.206,315.732,16.529,40.895,1006.171,0.792,0.186,2.147,2.147,2.147,2.147
2023-02-01 00:05:00,1.833,1.752,0.454,130.360,332.734,16.378,41.010,1001.821,0.873,0.183,2.095,2.095,2.095,2.095
2023-02-01 00:06:00,2.324,1.911,1.131,139.108,119.887,16.294,39.502,1001.749,1.107,0.171,2.128,2.128,2.128,2.128
2023-02-01 00:07:00,2.649,2.258,1.652,138.627,116.441,16.338,33.469,1001.830,1.236,0.174,2.193,2.193,2.193,2.193
2023-02-01 00:08:00,2.461,2.361,1.897,140.550,111.011,16.784,27.861,1001.810,1.129,0.166,2.222,2.222,2.222,2.222
2023-02-01 00:09:00,2.587,2.190,1.737,143.350,109.370,17.370,25.873,1001.509,1.166,0.163,2.259,2.259,2.259,2.259
2023-02-01 00:10:00,2.381,2.001,1.487,134.352,112.058,17.781,27.860,1001.627,1.075,0.145,2.215,2.270,2.270,2.270
2023-02-01 00:11:00,1.950,1.751,1.033,135.641,114.067,17.826,32.739,1001.777,0.903,0.150,2.173,2.243,2.243,2.243
2023-02-01 00:12:00,1.639,1.466,0.366,136.698,90.406,17.534,36.379,1001.716,0.769,0.168,2.140,2.197,2.197,2.197
2023-02-01 00:13:00,1.507,1.298,0.250,133.555,13.230,17.124,39.249,1001.831,0.718,0.190,2.106,2.148,2.148,2.148
2023-02-01 00:14:00,1.733,1.484,0.250,136.067,7.374,16.780,40.343,1001.475,0.829,0.189,2.106,2.120,2.120,2.120
2023-02-01 00:15:00,2.075,1.745,0.434,133.906,77.633,16.566,39.992,1000.984,0.983,0.182,2.131,2.117,2.117,2.117
2023-02-01 00:16:00,2.222,1.819,1.129,137.956,110.158,16.470,36.621,1001.539,1.051,0.181,2.120,2.123,2.123,2.123
2023-02-01 00:17:00,2.326,2.051,1.331,140.410,112.303,16.620,34.331,1001.780,1.116,0.168,2.088,2.135,2.135,2.135
2023-02-01 00:18:00,2.293,2.116,1.292,142.682,115.334,16.837,33.602,1001.451,1.110,0.163,2.071,2.143,2.143,2.143
2023-02-01 00:19:00,2.427,2.147,1.249,152.240,118.138,16.989,32.671,1001.813,1.185,0.153,2.055,2.157,2.157,2.157
2023-02-01 00:20:00,2.285,1.929,1.405,150.620,113.286,17.132,31.743,1001.530,1.124,0.150,2.046,2.163,2.163,2.163
