TIMESTAMP,WS_100,WS_69W,WS_38W,WD_97,WD_35,AT_95,RH_95,BP_93,GustFactor,TI_10min,MA_10min,MA_1h,MA_6h,MA_1mo
2021-09-01 00:00:00,2.556,2.532,2.597,3.894,7.616,27.677,92.828,998.807,1.003,0.000,2.556,2.556,2.556,2.556
2021-09-01 00:01:00,2.587,2.570,2.628,4.178,3.846,27.681,92.837,1000.811,1.028,0.006,2.572,2.572,2.572,2.572
2021-09-01 00:02:00,2.866,2.798,2.663,8.983,5.458,27.680,92.845,1000.858,1.103,0.052,2.670,2.670,2.670,2.670
2021-09-01 00:03:00,2.528,2.583,2.503,11.095,15.414,27.683,92.923,1000.869,0.969,0.051,2.634,2.634,2.634,2.634
2021-09-01 00:04:00,2.692,2.475,2.291,15.970,23.464,27.683,92.893,1000.853,1.030,0.047,2.646,2.646,2.646,2.646
2021-09-01 00:05:00,2.448,2.442,2.422,11.455,15.757,27.680,92.863,999.044,0.940,0.052,2.613,2.613,2.613,2.613
2021-09-01 00:06:00,2.354,2.265,2.295,10.455,9.964,27.678,92.822,999.013,0.920,0.060,2.576,2.576,2.576,2.576
2021-09-01 00:07:00,2.385,2.240,2.276,8.486,7.933,27.680,92.898,998.948,0.940,0.062,2.552,2.552,2.552,2.552
2021-09-01 00:08:00,2.773,2.713,2.622,6.904,8.448,27.680,92.915,998.962,1.092,0.064,2.577,2.577,2.577,2.577
2021-09-01 00:09:00,2.784,2.800,2.838,5.915,7.176,27.681,92.883,998.909,1.088,0.064,2.597,2.597,2.597,2.597
2021-09-01 00:10:00,2.789,2.859,2.719,12.165,8.758,27.683,92.852,998.935,1.084,0.067,2.621,2.615,2.615,2.615
2021-09-01 00:11:00,2.654,2.938,2.956,12.273,15.842,27.680,92.877,999.023,1.020,0.067,2.627,2.618,2.618,2.618
2021-09-01 00:12:00,2.646,2.672,2.706,12.916,15.580,27.680,92.873,999.016,1.025,0.060,2.605,2.620,2.620,2.620
2021-09-01 00:13:00,2.620,2.577,2.787,7.720,12.924,27.688,92.843,998.942,1.012,0.059,2.615,2.620,2.620,2.620
