TIMESTAMP,WS_100,WS_69W,WS_38W,WD_97,WD_35,AT_95,RH_95,BP_93,GustFactor,TI_10min,MA_10min,MA_1h,MA_6h,MA_1mo
2025-02-01 00:00:00,3.371,3.180,2.643,113.075,105.093,,0.015,1001.633,1.058,0.000,3.371,3.371,3.371,3.371
2025-02-01 00:01:00,2.958,3.028,2.221,105.886,98.597,,0.021,1005.573,0.910,0.065,3.165,3.165,3.165,3.165
2025-02-01 00:02:00,2.934,2.911,2.269,91.174,76.508,,0.015,1005.739,0.952,0.065,3.088,3.088,3.088,3.088
2025-02-01 00:03:00,2.964,2.565,1.974,92.088,75.884,,0.015,1005.837,0.975,0.059,3.057,3.057,3.057,3.057
2025-02-01 00:04:00,2.699,2.134,1.540,86.856,65.357,,0.015,1005.800,0.907,0.073,2.985,2.985,2.985,2.985
2025-02-01 00:05:00,2.319,2.277,1.508,93.346,60.934,,0.020,1001.703,0.805,0.110,2.874,2.874,2.874,2.874
2025-02-01 00:06:00,2.175,2.026,1.438,99.688,52.587,,0.025,1001.538,0.783,0.138,2.774,2.774,2.774,2.774
2025-02-01 00:07:00,2.118,2.140,1.346,100.838,51.653,,0.025,1000.570,0.793,0.155,2.692,2.692,2.692,2.692
2025-02-01 00:08:00,1.943,2.135,1.628,94.418,52.567,,0.036,1000.966,0.748,0.176,2.609,2.609,2.609,2.609
2025-02-01 00:09:00,2.055,2.213,1.931,87.333,55.641,,0.030,1001.102,0.808,0.183,2.554,2.554,2.554,2.554
2025-02-01 00:10:00,2.204,2.201,2.021,102.484,59.386,,0.032,1001.077,0.893,0.159,2.437,2.522,2.522,2.522
2025-02-01 00:11:00,2.344,2.297,2.021,100.862,65.401,,0.043,1001.017,0.994,0.145,2.375,2.507,2.507,2.507
2025-02-01 00:12:00,1.896,2.167,1.976,96.218,66.139,,0.045,1001.460,0.830,0.139,2.272,2.460,2.460,2.460
2025-02-01 00:13:00,1.902,2.121,1.689,99.655,66.727,,0.051,1001.567,0.875,0.108,2.166,2.420,2.420,2.420
2025-02-01 00:14:00,2.579,1.858,1.302,105.664,68.755,,0.031,1000.721,1.211,0.097,2.154,2.431,2.431,2.431
2025-02-01 00:15:00,2.994,1.699,1.564,107.960,75.574,,0.050,1000.650,1.385,0.147,2.221,2.466,2.466,2.466
2025-02-01 00:16:00,3.160,1.860,1.410,103.832,67.598,,0.022,1000.862,1.404,0.185,2.320,2.507,2.507,2.507
2025-02-01 00:17:00,2.937,1.990,1.356,101.807,59.325,,0.037,1000.803,1.264,0.192,2.401,2.531,2.531,2.531
2025-02-01 00:18:00,2.560,2.088,1.378,99.010,55.364,,0.043,1001.324,1.071,0.177,2.463,2.532,2.532,2.532
2025-02-01 00:19:00,2.428,2.043,1.455,95.312,43.522,,0.022,1001.719,0.993,0.166,2.500,2.527,2.527,2.527
