TIMESTAMP,WS_100,WS_69W,WS_38W,WD_97,WD_35,AT_95,RH_95,BP_93,GustFactor,TI_10min,MA_10min,MA_1h,MA_6h,MA_1mo
2022-04-01 00:00:00,24.457,24.630,24.289,27.414,12.158,17.266,86.363,1004.029,1.010,0.000,24.457,24.457,24.457,24.457
2022-04-01 00:01:00,24.306,23.157,22.286,27.744,11.887,17.148,86.183,1006.927,1.012,0.003,24.381,24.381,24.381,24.381
2022-04-01 00:02:00,23.309,22.738,21.909,29.086,11.453,17.139,86.958,1007.120,0.980,0.021,24.024,24.024,24.024,24.024
2022-04-01 00:03:00,23.778,23.237,22.733,32.546,14.442,17.264,87.350,1007.028,1.007,0.019,23.963,23.963,23.963,23.963
2022-04-01 00:04:00,23.317,21.518,19.699,30.371,15.373,17.151,86.892,1007.093,0.998,0.020,23.834,23.834,23.834,23.834
2022-04-01 00:05:00,25.150,24.477,23.314,30.045,12.648,17.093,86.165,1004.556,1.061,0.027,24.053,24.053,24.053,24.053
2022-04-01 00:06:00,24.512,24.159,23.834,29.039,13.534,16.971,85.765,1004.516,1.029,0.026,24.119,24.119,24.119,24.119
2022-04-01 00:07:00,24.805,24.716,23.978,30.112,15.131,16.968,86.157,1004.392,1.039,0.026,24.204,24.204,24.204,24.204
2022-04-01 00:08:00,22.369,21.633,20.370,32.927,16.808,17.130,87.252,1004.614,0.948,0.035,24.000,24.000,24.000,24.000
2022-04-01 00:09:00,20.722,20.719,20.123,31.379,16.584,17.369,88.147,1005.069,0.891,0.053,23.673,23.673,23.673,23.673
2022-04-01 00:10:00,23.537,22.813,21.557,32.202,14.944,17.334,87.238,1004.566,1.012,0.052,23.581,23.660,23.660,23.660
2022-04-01 00:11:00,24.014,23.810,22.553,29.920,15.879,17.124,86.153,1004.472,1.033,0.052,23.551,23.690,23.690,23.690
2022-04-01 00:12:00,23.198,22.271,20.902,27.790,13.596,17.095,86.855,1004.549,1.008,0.052,23.540,23.652,23.652,23.652
2022-04-01 00:13:00,22.950,22.958,21.141,30.889,13.012,17.157,87.227,1004.575,0.995,0.052,23.458,23.602,23.602,23.602
2022-04-01 00:14:00,24.166,23.786,22.395,29.673,13.852,17.214,86.947,1004.505,1.043,0.053,23.542,23.639,23.639,23.639
2022-04-01 00:15:00,24.158,23.953,23.735,27.597,13.003,17.032,85.785,1004.433,1.045,0.049,23.443,23.672,23.672,23.672
2022-04-01 00:16:00,24.207,24.261,23.827,30.417,15.874,17.011,85.710,1004.371,1.047,0.048,23.413,23.703,23.703,23.703
2022-04-01 00:17:00,25.043,24.504,23.264,29.597,15.196,16.984,85.457,1004.113,1.082,0.049,23.436,23.778,23.778,23.778
2022-04-01 00:18:00,25.649,25.171,24.503,28.084,13.092,16.914,85.082,1004.023,1.095,0.053,23.764,23.876,23.876,23.876
2022-04-01 00:19:00,25.833,25.409,24.154,29.349,14.896,16.874,84.907,1004.027,1.085,0.038,24.275,23.974,23.974,23.974
2022-04-01 00:20:00,25.247,25.156,24.432,30.451,15.025,16.878,85.292,1004.019,1.047,0.038,24.447,24.035,24.035,24.035
2022-04-01 00:21:00,24.419,24.291,23.667,31.169,15.701,16.871,85.213,1004.192,1.009,0.037,24.487,24.052,24.052,24.052
2022-04-01 00:22:00,24.739,24.426,23.867,30.315,17.127,16.906,85.788,1004.125,1.021,0.033,24.641,24.082,24.082,24.082
2022-04-01 00:23:00,25.155,24.839,24.039,29.241,14.465,16.874,85.132,1004.116,1.029,0.024,24.862,24.127,24.127,24.127
2022-04-01 00:24:00,25.219,24.884,24.238,29.406,14.240,16.832,85.127,1004.056,1.021,0.022,24.967,24.170,24.170,24.170
